PLAYER_ID,NAME,DOB,POSITION,NATIONALITY,HEIGHT,WEIGHT,SEASON1_ID,SEASON2_ID,MIN_S1,MIN_S2,PTS_S1,PTS_S2,AST_S1,AST_S2,REB_S1,REB_S2,STL_S1,STL_S2,FG3M_S1,FG3M_S2,FG3A_S1,FG3A_S2,FTM_S1,FTM_S2,FTA_S1,FTA_S2,FGM_S1,FGM_S2,FGA_S1,FGA_S2,PLUS_MINUS_S1,PLUS_MINUS_S2
202692,Alec Burks,1991-07-20T00:00:00,Guard,,6-5,214,2011-12,2012-13,939.0,1137.0,425.0,451.0,55.0,92.0,132.0,145.0,27.0,35.0,15.0,33.0,45.0,92.0,104.0,92.0,143.0,129.0,153.0,163.0,357.0,388.0,,
202693,Markieff Morris,1989-09-02T00:00:00,Forward,,6-9,245,2011-12,2012-13,1227.0,1837.0,467.0,670.0,65.0,108.0,279.0,396.0,41.0,77.0,43.0,45.0,124.0,134.0,76.0,93.0,106.0,127.0,174.0,266.0,436.0,653.0,,
202695,Kawhi Leonard,1991-06-29T00:00:00,Forward,,6-6,225,2011-12,2012-13,1534.0,1810.0,507.0,689.0,70.0,93.0,327.0,346.0,85.0,97.0,41.0,65.0,109.0,174.0,68.0,104.0,88.0,126.0,199.0,260.0,404.0,526.0,,
202697,Iman Shumpert,1990-06-26T00:00:00,Guard,,6-5,212,2011-12,2012-13,1705.0,996.0,563.0,305.0,164.0,75.0,186.0,136.0,101.0,43.0,48.0,51.0,157.0,127.0,87.0,36.0,109.0,47.0,214.0,109.0,534.0,275.0,,
202699,Tobias Harris,1992-07-15T00:00:00,Forward,,6-8,226,2011-12,2012-13,479.0,325.0,208.0,136.0,22.0,13.0,101.0,57.0,13.0,8.0,6.0,7.0,23.0,21.0,44.0,23.0,54.0,26.0,79.0,53.0,169.0,115.0,,
202700,Donatas Motiejunas,1990-09-20T00:00:00,Forward-Center,,7-0,220,2012-13,2013-14,538.0,952.0,250.0,341.0,31.0,34.0,93.0,225.0,7.0,20.0,24.0,21.0,83.0,84.0,32.0,58.0,51.0,96.0,97.0,131.0,213.0,296.0,,
202701,Nolan Smith,1988-07-25T00:00:00,Guard,,6-2,185,2011-12,2012-13,541.0,288.0,167.0,110.0,62.0,35.0,56.0,27.0,18.0,7.0,13.0,6.0,45.0,28.0,20.0,20.0,28.0,28.0,67.0,42.0,180.0,114.0,,
202702,Kenneth Faried,1989-11-19T00:00:00,Forward-Center,,6-8,220,2011-12,2012-13,1037.0,2248.0,471.0,923.0,36.0,77.0,352.0,734.0,34.0,81.0,0.0,0.0,0.0,0.0,109.0,163.0,164.0,266.0,181.0,380.0,309.0,689.0,,
202703,Nikola Mirotic,1991-02-11T00:00:00,Forward,,6-10,250,2014-15,2015-16,1654.0,1646.0,833.0,777.0,97.0,100.0,404.0,362.0,54.0,58.0,99.0,135.0,313.0,346.0,228.0,146.0,284.0,181.0,253.0,248.0,624.0,609.0,,
202704,Reggie Jackson,1990-04-16T00:00:00,Guard,,6-2,208,2011-12,2012-13,501.0,993.0,140.0,374.0,71.0,122.0,53.0,166.0,25.0,29.0,13.0,24.0,62.0,104.0,25.0,52.0,29.0,62.0,51.0,149.0,159.0,325.0,,
202705,MarShon Brooks,1989-01-26T00:00:00,Guard,,6-5,200,2011-12,2012-13,1648.0,912.0,708.0,394.0,131.0,76.0,200.0,104.0,52.0,34.0,47.0,15.0,150.0,55.0,113.0,69.0,148.0,94.0,274.0,155.0,640.0,335.0,,
202706,Jordan Hamilton,1990-10-06T00:00:00,Guard-Forward,,6-7,220,2011-12,2012-13,258.0,397.0,115.0,208.0,20.0,23.0,62.0,95.0,4.0,15.0,17.0,27.0,47.0,73.0,2.0,13.0,5.0,26.0,48.0,84.0,111.0,201.0,,
202707,JaJuan Johnson,1989-02-08T00:00:00,Forward,,6-10,221,2011-12,,298.0,,114.0,,6.0,,58.0,,5.0,,0.0,,0.0,,6.0,,9.0,,54.0,,121.0,,,
202708,Norris Cole,1988-10-13T00:00:00,Guard,,6-2,175,2011-12,2012-13,1260.0,1590.0,441.0,445.0,133.0,164.0,91.0,130.0,44.0,57.0,21.0,35.0,76.0,98.0,66.0,52.0,85.0,80.0,177.0,179.0,450.0,425.0,,
202709,Cory Joseph,1991-08-20T00:00:00,Guard,,6-2,200,2011-12,2012-13,266.0,388.0,58.0,126.0,34.0,53.0,25.0,52.0,7.0,15.0,3.0,6.0,15.0,21.0,11.0,18.0,17.0,21.0,22.0,51.0,70.0,110.0,,
203076,Anthony Davis,1993-03-11T00:00:00,Forward-Center,,6-10,253,2012-13,2013-14,1846.0,2358.0,867.0,1394.0,63.0,105.0,522.0,673.0,75.0,89.0,0.0,2.0,6.0,9.0,169.0,348.0,225.0,440.0,349.0,522.0,676.0,1005.0,,
203077,Michael Kidd-Gilchrist,1993-09-26T00:00:00,Forward,,6-6,232,2012-13,2013-14,2025.0,1502.0,704.0,448.0,117.0,52.0,455.0,324.0,54.0,43.0,2.0,1.0,9.0,9.0,140.0,113.0,187.0,184.0,281.0,167.0,613.0,353.0,,
203078,Bradley Beal,1993-06-28T00:00:00,Guard,,6-4,207,2012-13,2013-14,1745.0,2530.0,780.0,1249.0,137.0,243.0,211.0,273.0,50.0,71.0,91.0,138.0,236.0,343.0,125.0,149.0,159.0,189.0,282.0,481.0,687.0,1149.0,,
203079,Dion Waiters,1991-12-10T00:00:00,Guard,,6-3,210,2012-13,2013-14,1756.0,2072.0,894.0,1113.0,183.0,209.0,149.0,195.0,59.0,63.0,63.0,92.0,203.0,250.0,159.0,161.0,213.0,235.0,336.0,430.0,815.0,993.0,,
203080,Thomas Robinson,1991-03-17T00:00:00,Forward,,6-10,237,2012-13,2012-13,809.0,247.0,247.0,86.0,36.0,10.0,238.0,77.0,25.0,16.0,0.0,0.0,0.0,1.0,41.0,16.0,71.0,38.0,103.0,35.0,243.0,78.0,,
203081,Damian Lillard,1990-07-15T00:00:00,Guard,,6-2,200,2012-13,2013-14,3167.0,2937.0,1562.0,1695.0,531.0,457.0,257.0,288.0,74.0,64.0,185.0,218.0,503.0,554.0,271.0,371.0,321.0,426.0,553.0,553.0,1288.0,1304.0,,
203084,Harrison Barnes,1992-05-30T00:00:00,Forward,,6-7,225,2012-13,2013-14,2058.0,2204.0,748.0,738.0,98.0,116.0,333.0,311.0,52.0,65.0,52.0,66.0,145.0,190.0,144.0,130.0,190.0,181.0,276.0,271.0,628.0,679.0,,
203082,Terrence Ross,1991-02-05T00:00:00,Guard-Forward,,6-7,206,2012-13,2013-14,1239.0,2159.0,467.0,879.0,53.0,79.0,144.0,252.0,43.0,64.0,65.0,161.0,196.0,408.0,30.0,82.0,42.0,98.0,186.0,318.0,457.0,751.0,,
203083,Andre Drummond,1993-08-10T00:00:00,Center,,6-11,279,2012-13,2013-14,1243.0,2619.0,476.0,1095.0,30.0,35.0,457.0,1071.0,59.0,101.0,1.0,0.0,2.0,2.0,59.0,137.0,159.0,328.0,208.0,479.0,342.0,769.0,,
203085,Austin Rivers,1992-08-01T00:00:00,Guard,,6-4,200,2012-13,2013-14,1418.0,1339.0,377.0,530.0,127.0,160.0,109.0,129.0,26.0,45.0,28.0,36.0,86.0,99.0,59.0,110.0,108.0,173.0,145.0,192.0,390.0,474.0,,
203086,Meyers Leonard,1992-02-27T00:00:00,Forward-Center,,7-0,260,2012-13,2013-14,1206.0,355.0,377.0,98.0,33.0,18.0,255.0,111.0,11.0,7.0,3.0,0.0,7.0,6.0,72.0,16.0,89.0,21.0,151.0,41.0,277.0,91.0,,
203087,Jeremy Lamb,1992-05-30T00:00:00,Guard-Forward,,6-5,180,2012-13,2013-14,147.0,1538.0,71.0,665.0,5.0,115.0,18.0,189.0,2.0,56.0,9.0,88.0,30.0,247.0,14.0,51.0,14.0,64.0,24.0,263.0,68.0,609.0,,
203088,Kendall Marshall,1991-08-19T00:00:00,Guard,,6-4,200,2012-13,2013-14,702.0,1564.0,143.0,430.0,143.0,477.0,42.0,155.0,22.0,48.0,23.0,71.0,73.0,178.0,8.0,19.0,14.0,36.0,56.0,170.0,151.0,419.0,,
203089,John Henson,1990-12-28T00:00:00,Forward-Center,,6-9,219,2012-13,2013-14,827.0,1856.0,380.0,779.0,31.0,113.0,297.0,497.0,19.0,41.0,0.0,0.0,3.0,1.0,56.0,91.0,105.0,177.0,162.0,344.0,336.0,639.0,,
203090,Maurice Harkless,1993-05-11T00:00:00,Forward-Guard,,6-7,220,2012-13,2013-14,1974.0,1950.0,625.0,592.0,50.0,80.0,335.0,264.0,88.0,97.0,32.0,59.0,117.0,154.0,73.0,85.0,128.0,143.0,260.0,224.0,564.0,483.0,,
203091,Royce White,1991-04-10T00:00:00,Forward,,6-8,260,2013-14,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,
203092,Tyler Zeller,1990-01-17T00:00:00,Forward-Center,,6-11,250,2012-13,2013-14,2033.0,1049.0,610.0,399.0,96.0,36.0,438.0,282.0,35.0,18.0,0.0,0.0,4.0,1.0,120.0,87.0,157.0,121.0,245.0,156.0,559.0,290.0,,
203093,Terrence Jones,1992-01-09T00:00:00,Forward,,6-9,252,2012-13,2013-14,276.0,2078.0,104.0,921.0,15.0,87.0,65.0,528.0,12.0,53.0,5.0,31.0,19.0,101.0,13.0,118.0,17.0,195.0,43.0,386.0,94.0,712.0,,
203094,Andrew Nicholson,1989-12-08T00:00:00,Forward,,6-9,250,2012-13,2013-14,1249.0,1174.0,587.0,435.0,44.0,25.0,258.0,255.0,24.0,18.0,0.0,28.0,0.0,89.0,75.0,47.0,94.0,57.0,256.0,180.0,486.0,420.0,,
203095,Evan Fournier,1992-10-29T00:00:00,Guard-Forward,,6-6,205,2012-13,2013-14,428.0,1504.0,202.0,638.0,44.0,112.0,35.0,202.0,19.0,34.0,22.0,89.0,54.0,237.0,30.0,93.0,39.0,123.0,75.0,228.0,152.0,544.0,,
203096,Jared Sullinger,1992-03-04T00:00:00,Center-Forward,,6-9,260,2012-13,2013-14,892.0,2041.0,270.0,982.0,35.0,118.0,264.0,601.0,22.0,35.0,1.0,56.0,5.0,208.0,47.0,158.0,63.0,203.0,111.0,384.0,225.0,899.0,,
203097,Fab Melo,1990-06-20T00:00:00,Center,,7-0,255,2012-13,,36.0,,7.0,,0.0,,3.0,,2.0,,0.0,,0.0,,1.0,,4.0,,3.0,,6.0,,,
203098,John Jenkins,1991-03-06T00:00:00,Guard,,6-4,215,2012-13,2013-14,902.0,158.0,374.0,40.0,56.0,11.0,94.0,22.0,12.0,1.0,53.0,4.0,138.0,18.0,59.0,4.0,70.0,4.0,131.0,16.0,294.0,42.0,,
203099,Jared Cunningham,1991-05-22T00:00:00,Guard,,6-4,195,2012-13,2013-14,26.0,22.0,16.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,6.0,1.0,14.0,2.0,,
203100,Tony Wroten,1993-04-13T00:00:00,Guard,,6-6,205,2012-13,2013-14,272.0,1765.0,91.0,939.0,43.0,217.0,28.0,228.0,8.0,78.0,4.0,40.0,16.0,188.0,21.0,209.0,29.0,326.0,33.0,345.0,86.0,808.0,,
203101,Miles Plumlee,1988-09-01T00:00:00,Center,,6-11,249,2012-13,2013-14,55.0,1964.0,13.0,646.0,2.0,43.0,22.0,626.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,74.0,4.0,132.0,5.0,286.0,21.0,553.0,,
203102,Arnett Moultrie,1990-11-18T00:00:00,Forward,,6-10,240,2012-13,2013-14,542.0,187.0,174.0,36.0,10.0,2.0,145.0,35.0,17.0,8.0,0.0,0.0,0.0,0.0,18.0,4.0,28.0,5.0,78.0,16.0,134.0,38.0,,
203104,Marquis Teague,1993-02-28T00:00:00,Guard,,6-2,189,2012-13,2013-14,392.0,242.0,99.0,45.0,63.0,28.0,44.0,19.0,9.0,2.0,4.0,2.0,23.0,10.0,9.0,11.0,16.0,16.0,43.0,16.0,113.0,66.0,,
203105,Festus Ezeli,1989-10-21T00:00:00,Center,,6-11,265,2012-13,2014-15,1120.0,504.0,191.0,201.0,22.0,9.0,313.0,155.0,23.0,7.0,0.0,0.0,0.0,0.0,43.0,49.0,81.0,78.0,74.0,76.0,169.0,139.0,,
203461,Anthony Bennett,1993-03-14T00:00:00,Forward,,6-8,235,2013-14,2014-15,663.0,894.0,217.0,298.0,17.0,48.0,155.0,216.0,21.0,27.0,13.0,7.0,53.0,23.0,44.0,41.0,69.0,64.0,80.0,125.0,225.0,297.0,,
203506,Victor Oladipo,1992-05-04T00:00:00,Guard,,6-3,213,2013-14,2014-15,2487.0,2573.0,1106.0,1292.0,327.0,295.0,329.0,302.0,129.0,120.0,74.0,84.0,226.0,248.0,248.0,262.0,318.0,320.0,392.0,473.0,936.0,1086.0,,
203490,Otto Porter Jr.,1993-06-03T00:00:00,Forward,,6-8,230,2013-14,2014-15,319.0,1432.0,78.0,445.0,10.0,65.0,57.0,221.0,8.0,44.0,4.0,35.0,21.0,104.0,8.0,58.0,12.0,79.0,33.0,176.0,91.0,391.0,,
203469,Cody Zeller,1992-10-05T00:00:00,Forward-Center,,6-11,240,2013-14,2014-15,1417.0,1487.0,490.0,472.0,92.0,100.0,353.0,362.0,40.0,34.0,0.0,1.0,1.0,1.0,146.0,127.0,200.0,164.0,172.0,172.0,404.0,373.0,,
203458,Alex Len,1993-06-16T00:00:00,Center,,7-0,250,2013-14,2014-15,362.0,1518.0,86.0,432.0,4.0,32.0,99.0,454.0,4.0,34.0,0.0,1.0,0.0,3.0,20.0,73.0,31.0,104.0,33.0,179.0,78.0,353.0,,
203457,Nerlens Noel,1994-04-10T00:00:00,Center-Forward,,6-10,220,2014-15,2015-16,2311.0,1965.0,744.0,747.0,128.0,122.0,611.0,542.0,133.0,118.0,0.0,1.0,0.0,2.0,140.0,134.0,230.0,227.0,302.0,306.0,653.0,587.0,,
203463,Ben McLemore,1993-02-11T00:00:00,Guard,,6-3,195,2013-14,2014-15,2187.0,2670.0,720.0,996.0,82.0,140.0,235.0,241.0,45.0,77.0,95.0,140.0,297.0,391.0,115.0,130.0,143.0,160.0,255.0,363.0,679.0,831.0,,
203484,Kentavious Caldwell-Pope,1993-02-18T00:00:00,Guard,,6-5,204,2013-14,2014-15,1583.0,2587.0,470.0,1043.0,55.0,109.0,156.0,255.0,75.0,93.0,59.0,153.0,185.0,444.0,47.0,110.0,61.0,158.0,182.0,390.0,460.0,972.0,,
203504,Trey Burke,1992-11-12T00:00:00,Guard,,6-0,185,2013-14,2014-15,2262.0,2288.0,895.0,973.0,396.0,328.0,208.0,204.0,42.0,65.0,111.0,124.0,336.0,390.0,102.0,109.0,113.0,145.0,341.0,370.0,897.0,1005.0,,
203468,CJ McCollum,1991-09-19T00:00:00,Guard,,6-3,190,2013-14,2014-15,476.0,973.0,201.0,424.0,27.0,64.0,48.0,91.0,14.0,43.0,30.0,55.0,80.0,139.0,23.0,51.0,34.0,73.0,74.0,159.0,178.0,365.0,,
203487,Michael Carter-Williams,1991-10-10T00:00:00,Guard,,6-5,190,2013-14,2014-15,2414.0,1391.0,1167.0,613.0,441.0,302.0,437.0,254.0,130.0,60.0,55.0,32.0,208.0,125.0,258.0,117.0,367.0,182.0,427.0,232.0,1054.0,611.0,,
203500,Steven Adams,1993-07-20T00:00:00,Center,,6-11,265,2013-14,2014-15,1197.0,1771.0,265.0,537.0,43.0,66.0,332.0,523.0,40.0,38.0,0.0,0.0,0.0,2.0,79.0,103.0,136.0,205.0,93.0,217.0,185.0,399.0,,
203482,Kelly Olynyk,1991-04-19T00:00:00,Forward-Center,,7-0,240,2013-14,2014-15,1400.0,1424.0,607.0,656.0,109.0,109.0,365.0,303.0,35.0,64.0,40.0,61.0,114.0,175.0,99.0,93.0,122.0,136.0,234.0,251.0,502.0,528.0,,
203498,Shabazz Muhammad,1992-11-13T00:00:00,Guard-Forward,,6-6,221,2013-14,2014-15,290.0,866.0,143.0,512.0,6.0,44.0,53.0,154.0,8.0,18.0,3.0,20.0,11.0,51.0,26.0,104.0,40.0,145.0,57.0,194.0,124.0,397.0,,
203507,Giannis Antetokounmpo,1994-12-06T00:00:00,Forward,,6-11,243,2013-14,2014-15,1897.0,2541.0,525.0,1030.0,150.0,207.0,339.0,542.0,60.0,73.0,41.0,7.0,118.0,44.0,138.0,257.0,202.0,347.0,173.0,383.0,418.0,780.0,,
203512,Lucas Nogueira,1992-07-26T00:00:00,Center,,7-0,220,2014-15,2015-16,23.0,225.0,6.0,65.0,1.0,7.0,11.0,46.0,2.0,12.0,0.0,1.0,0.0,3.0,2.0,8.0,4.0,15.0,2.0,28.0,8.0,44.0,,
203499,Shane Larkin,1992-10-02T00:00:00,Guard,,5-11,175,2013-14,2014-15,489.0,1865.0,132.0,470.0,71.0,226.0,42.0,176.0,26.0,93.0,12.0,35.0,38.0,116.0,16.0,61.0,25.0,78.0,52.0,187.0,137.0,432.0,,
203508,Sergey Karasev,1993-10-26T00:00:00,Guard-Forward,,6-7,208,2013-14,2014-15,156.0,555.0,37.0,153.0,6.0,46.0,16.0,66.0,3.0,23.0,4.0,16.0,19.0,54.0,9.0,29.0,10.0,38.0,12.0,54.0,35.0,134.0,,
203503,Tony Snell,1991-11-10T00:00:00,Guard,,6-6,213,2013-14,2014-15,1231.0,1412.0,346.0,435.0,68.0,62.0,124.0,176.0,29.0,32.0,57.0,73.0,178.0,197.0,31.0,44.0,41.0,55.0,129.0,159.0,336.0,371.0,,
203476,Gorgui Dieng,1990-01-18T00:00:00,Center,,6-10,248,2013-14,2014-15,818.0,2193.0,286.0,710.0,39.0,146.0,300.0,609.0,30.0,71.0,1.0,1.0,1.0,6.0,59.0,191.0,93.0,244.0,113.0,259.0,227.0,512.0,,
203486,Mason Plumlee,1990-03-05T00:00:00,Forward-Center,,6-10,254,2013-14,2014-15,1275.0,1743.0,520.0,717.0,60.0,74.0,308.0,512.0,49.0,65.0,0.0,0.0,3.0,3.0,122.0,157.0,195.0,317.0,199.0,280.0,302.0,489.0,,
203524,Solomon Hill,1991-03-18T00:00:00,Forward,,6-6,226,2013-14,2014-15,226.0,2381.0,47.0,729.0,12.0,184.0,41.0,314.0,5.0,66.0,7.0,68.0,23.0,208.0,6.0,159.0,7.0,193.0,17.0,251.0,40.0,634.0,,
203501,Tim Hardaway Jr.,1992-03-16T00:00:00,Guard-Forward,,6-5,205,2013-14,2014-15,1875.0,1681.0,824.0,804.0,66.0,127.0,121.0,156.0,44.0,20.0,130.0,121.0,358.0,354.0,106.0,125.0,128.0,156.0,294.0,279.0,687.0,717.0,,
203460,Andre Roberson,1991-12-04T00:00:00,Guard-Forward,,6-7,210,2013-14,2014-15,399.0,1286.0,75.0,228.0,15.0,70.0,94.0,255.0,19.0,53.0,2.0,21.0,13.0,85.0,7.0,23.0,10.0,48.0,33.0,92.0,68.0,201.0,,
203497,Rudy Gobert,1992-06-26T00:00:00,Center,,7-1,258,2013-14,2014-15,434.0,2158.0,104.0,686.0,7.0,109.0,155.0,775.0,8.0,64.0,0.0,0.0,0.0,2.0,32.0,170.0,65.0,273.0,36.0,258.0,74.0,427.0,,
203462,Archie Goodwin,1994-08-17T00:00:00,Guard,,6-5,205,2013-14,2014-15,533.0,535.0,194.0,231.0,20.0,44.0,87.0,74.0,20.0,18.0,5.0,12.0,36.0,41.0,37.0,61.0,55.0,83.0,76.0,79.0,167.0,201.0,,
203517,Nemanja Nedovic,1991-06-16T00:00:00,Guard,,6-3,192,2013-14,,142.0,,26.0,,13.0,,15.0,,0.0,,3.0,,18.0,,7.0,,8.0,,8.0,,39.0,,,
203952,Andrew Wiggins,1995-02-23T00:00:00,Forward,,6-6,197,2014-15,2015-16,2969.0,2845.0,1387.0,1675.0,170.0,164.0,374.0,291.0,86.0,78.0,39.0,57.0,126.0,190.0,354.0,430.0,466.0,565.0,497.0,594.0,1137.0,1294.0,,
203953,Jabari Parker,1995-03-15T00:00:00,Forward,,6-7,245,2014-15,2015-16,738.0,2408.0,308.0,1070.0,42.0,130.0,138.0,395.0,31.0,69.0,4.0,9.0,16.0,35.0,46.0,175.0,66.0,228.0,129.0,443.0,263.0,899.0,,
203954,Joel Embiid,1994-03-16T00:00:00,Center-Forward,,7-0,280,2016-17,2017-18,786.0,1912.0,627.0,1445.0,66.0,199.0,243.0,690.0,27.0,40.0,36.0,66.0,98.0,214.0,191.0,359.0,244.0,467.0,200.0,510.0,429.0,1056.0,,
203932,Aaron Gordon,1995-09-16T00:00:00,Forward,,6-8,235,2014-15,2015-16,797.0,1863.0,243.0,719.0,33.0,128.0,169.0,507.0,21.0,59.0,13.0,42.0,48.0,142.0,44.0,129.0,61.0,193.0,93.0,274.0,208.0,579.0,,
203935,Marcus Smart,1994-03-06T00:00:00,Guard,,6-3,220,2014-15,2015-16,1808.0,1667.0,523.0,558.0,208.0,185.0,222.0,255.0,99.0,91.0,91.0,61.0,272.0,241.0,82.0,129.0,127.0,166.0,175.0,184.0,477.0,529.0,,
203944,Julius Randle,1994-11-29T00:00:00,Forward-Center,,6-9,250,2014-15,2015-16,14.0,2286.0,2.0,919.0,0.0,144.0,0.0,829.0,0.0,53.0,0.0,10.0,0.0,36.0,0.0,193.0,2.0,270.0,1.0,358.0,3.0,835.0,,
203917,Nik Stauskas,1993-10-07T00:00:00,Guard,,6-6,207,2014-15,2015-16,1127.0,1809.0,319.0,617.0,67.0,138.0,88.0,183.0,20.0,44.0,48.0,106.0,149.0,325.0,55.0,91.0,64.0,118.0,108.0,210.0,296.0,545.0,,
203943,Noah Vonleh,1995-08-24T00:00:00,Forward,,6-10,257,2014-15,2015-16,259.0,1174.0,83.0,283.0,4.0,30.0,86.0,305.0,4.0,27.0,5.0,11.0,13.0,46.0,18.0,38.0,26.0,51.0,30.0,117.0,76.0,278.0,,
203901,Elfrid Payton,1994-02-22T00:00:00,Guard,,6-3,195,2014-15,2015-16,2489.0,2145.0,731.0,778.0,533.0,467.0,349.0,261.0,142.0,89.0,11.0,30.0,42.0,92.0,118.0,112.0,214.0,190.0,301.0,318.0,708.0,730.0,,
203926,Doug McDermott,1992-01-03T00:00:00,Forward,,6-6,225,2014-15,2015-16,321.0,1861.0,109.0,764.0,6.0,59.0,43.0,195.0,4.0,14.0,13.0,110.0,41.0,259.0,10.0,72.0,15.0,84.0,43.0,291.0,107.0,644.0,,
203897,Zach LaVine,1995-03-10T00:00:00,Guard,,6-5,200,2014-15,2015-16,1902.0,2294.0,778.0,1150.0,276.0,251.0,214.0,228.0,54.0,69.0,57.0,123.0,167.0,316.0,149.0,161.0,177.0,203.0,286.0,433.0,677.0,959.0,,
203933,T.J. Warren,1993-09-05T00:00:00,Forward,,6-8,220,2014-15,2015-16,614.0,1070.0,245.0,515.0,25.0,44.0,85.0,147.0,18.0,37.0,5.0,28.0,21.0,70.0,14.0,45.0,19.0,64.0,113.0,221.0,214.0,441.0,,
203940,Adreian Payne,1991-02-19T00:00:00,Forward,,6-10,237,2014-15,2014-15,19.0,720.0,5.0,208.0,0.0,30.0,4.0,158.0,1.0,18.0,0.0,1.0,1.0,8.0,1.0,29.0,2.0,44.0,2.0,89.0,7.0,213.0,,
203923,James Young,1995-08-16T00:00:00,Guard-Forward,,6-6,215,2014-15,2015-16,332.0,199.0,105.0,29.0,13.0,9.0,42.0,26.0,8.0,6.0,17.0,6.0,66.0,26.0,16.0,1.0,29.0,4.0,36.0,11.0,102.0,36.0,,
203898,Tyler Ennis,1994-08-24T00:00:00,Guard,,6-3,194,2014-15,2014-15,58.0,353.0,22.0,99.0,14.0,59.0,7.0,28.0,0.0,18.0,2.0,10.0,6.0,37.0,2.0,3.0,2.0,5.0,9.0,43.0,21.0,123.0,,
203914,Gary Harris,1994-09-14T00:00:00,Guard,,6-4,210,2014-15,2015-16,719.0,2439.0,188.0,932.0,29.0,147.0,64.0,220.0,39.0,97.0,21.0,105.0,103.0,297.0,35.0,109.0,47.0,133.0,66.0,359.0,217.0,765.0,,
203998,Bruno Caboclo,1995-09-21T00:00:00,Forward,,6-9,218,2014-15,2015-16,23.0,43.0,10.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,12.0,,
203956,Mitch McGary,1992-06-06T00:00:00,Forward,,6-10,255,2014-15,2015-16,485.0,72.0,201.0,26.0,14.0,3.0,165.0,18.0,16.0,1.0,0.0,0.0,2.0,4.0,25.0,4.0,40.0,10.0,88.0,11.0,165.0,23.0,,
